{'timestamp': 1759261994.6558223, 'alvo_idx': 2, 'alvo_coords': (1600.0, 180.0)}
{'timestamp': 1759261994.6712708, 'alvo_idx': 2, 'alvo_coords': (1600.0, 180.0)}
{'timestamp': 1759261994.6839056, 'alvo_idx': 2, 'alvo_coords': (1600.0, 180.0)}
{'timestamp': 1759261994.7050557, 'alvo_idx': 2, 'alvo_coords': (1600.0, 180.0)}
{'timestamp': 1759261994.7185922, 'alvo_idx': 2, 'alvo_coords': (1600.0, 180.0)}
{'timestamp': 1759261994.745093, 'alvo_idx': 2, 'alvo_coords': (1600.0, 180.0)}
{'timestamp': 1759261994.7579508, 'alvo_idx': 2, 'alvo_coords': (1600.0, 180.0)}
{'timestamp': 1759261994.7770815, 'alvo_idx': 2, 'alvo_coords': (1600.0, 180.0)}
{'timestamp': 1759261994.7898326, 'alvo_idx': 2, 'alvo_coords': (1600.0, 180.0)}
{'timestamp': 1759261994.8120108, 'alvo_idx': 2, 'alvo_coords': (1600.0, 180.0)}
{'timestamp': 1759261994.8223162, 'alvo_idx': 2, 'alvo_coords': (1600.0, 180.0)}
{'timestamp': 1759261994.8421535, 'alvo_idx': 2, 'alvo_coords': (1600.0, 180.0)}
{'timestamp': 1759261994.8521917, 'alvo_idx': 2, 'alvo_coords': (1600.0, 180.0)}
{'timestamp': 1759261994.8760047, 'alvo_idx': 2, 'alvo_coords': (1600.0, 180.0)}
{'timestamp': 1759261994.88874, 'alvo_idx': 2, 'alvo_coords': (1600.0, 180.0)}
{'timestamp': 1759261994.9070318, 'alvo_idx': 2, 'alvo_coords': (1600.0, 180.0)}
{'timestamp': 1759261994.9224617, 'alvo_idx': 2, 'alvo_coords': (1600.0, 180.0)}
{'timestamp': 1759261994.9384522, 'alvo_idx': 2, 'alvo_coords': (1600.0, 180.0)}
{'timestamp': 1759261994.9581668, 'alvo_idx': 2, 'alvo_coords': (1600.0, 180.0)}
{'timestamp': 1759261994.9767008, 'alvo_idx': 2, 'alvo_coords': (1600.0, 180.0)}
{'timestamp': 1759261994.9896257, 'alvo_idx': 2, 'alvo_coords': (1600.0, 180.0)}
